subset_id,subset_label,subset_size,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
0,BIBLIO_ONLY,0,0.71459,0.03779,0.29126,0.0479
1,cross_domain_attack,1,0.71578,0.03768,0.29075,0.04771
2,conf_gap_change,1,0.71776,0.03674,0.29018,0.04672
3,var_conf_pro,1,0.71791,0.03683,0.29069,0.04733
4,H_final,1,0.7168,0.03862,0.28986,0.04584
5,delta_H,1,0.71568,0.03715,0.28801,0.04474
6,semantic_coherence,1,0.71534,0.03488,0.2921,0.04673
7,cross_domain_attack+conf_gap_change,2,0.71691,0.03919,0.2885,0.04823
8,cross_domain_attack+var_conf_pro,2,0.7168,0.03773,0.28869,0.04711
9,cross_domain_attack+H_final,2,0.71808,0.03724,0.28903,0.04729
10,cross_domain_attack+delta_H,2,0.7161,0.03679,0.28681,0.0454
11,cross_domain_attack+semantic_coherence,2,0.71738,0.03531,0.29357,0.04687
12,conf_gap_change+var_conf_pro,2,0.71816,0.03696,0.2868,0.04719
13,conf_gap_change+H_final,2,0.71662,0.03801,0.28518,0.04779
14,conf_gap_change+delta_H,2,0.71467,0.0382,0.28323,0.04618
15,conf_gap_change+semantic_coherence,2,0.71721,0.03552,0.28862,0.04778
16,var_conf_pro+H_final,2,0.71825,0.03811,0.28717,0.04712
17,var_conf_pro+delta_H,2,0.71724,0.03628,0.28565,0.04648
18,var_conf_pro+semantic_coherence,2,0.71904,0.03456,0.29344,0.04855
19,H_final+delta_H,2,0.71748,0.03644,0.28769,0.04548
20,H_final+semantic_coherence,2,0.71696,0.03604,0.29003,0.04684
21,delta_H+semantic_coherence,2,0.7178,0.03576,0.29184,0.04579
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,0.71618,0.04005,0.2847,0.0483
23,cross_domain_attack+conf_gap_change+H_final,3,0.71607,0.03884,0.28501,0.04788
24,cross_domain_attack+conf_gap_change+delta_H,3,0.71527,0.03773,0.28356,0.04692
25,cross_domain_attack+conf_gap_change+semantic_coherence,3,0.71715,0.03655,0.29082,0.04709
26,cross_domain_attack+var_conf_pro+H_final,3,0.71757,0.03688,0.28531,0.04657
27,cross_domain_attack+var_conf_pro+delta_H,3,0.71534,0.03745,0.28428,0.04613
28,cross_domain_attack+var_conf_pro+semantic_coherence,3,0.71728,0.03634,0.28963,0.04632
29,cross_domain_attack+H_final+delta_H,3,0.71784,0.03621,0.28638,0.04545
30,cross_domain_attack+H_final+semantic_coherence,3,0.71836,0.0365,0.29135,0.04654
31,cross_domain_attack+delta_H+semantic_coherence,3,0.71896,0.03543,0.29333,0.045
32,conf_gap_change+var_conf_pro+H_final,3,0.71846,0.03744,0.28521,0.04631
33,conf_gap_change+var_conf_pro+delta_H,3,0.71642,0.03604,0.28193,0.04449
34,conf_gap_change+var_conf_pro+semantic_coherence,3,0.71833,0.03635,0.28759,0.04869
35,conf_gap_change+H_final+delta_H,3,0.71556,0.03672,0.28104,0.04505
36,conf_gap_change+H_final+semantic_coherence,3,0.71815,0.03696,0.29136,0.0482
37,conf_gap_change+delta_H+semantic_coherence,3,0.71588,0.03734,0.28732,0.04647
38,var_conf_pro+H_final+delta_H,3,0.71873,0.03666,0.28481,0.04578
39,var_conf_pro+H_final+semantic_coherence,3,0.71847,0.03609,0.28954,0.04631
40,var_conf_pro+delta_H+semantic_coherence,3,0.71741,0.0353,0.28982,0.04505
41,H_final+delta_H+semantic_coherence,3,0.71798,0.03568,0.29062,0.04523
42,cross_domain_attack+conf_gap_change+var_conf_pro+H_final,4,0.71743,0.03714,0.28387,0.04526
43,cross_domain_attack+conf_gap_change+var_conf_pro+delta_H,4,0.71429,0.03821,0.28114,0.04715
44,cross_domain_attack+conf_gap_change+var_conf_pro+semantic_coherence,4,0.71642,0.03825,0.28654,0.04796
45,cross_domain_attack+conf_gap_change+H_final+delta_H,4,0.71727,0.03563,0.28356,0.04444
46,cross_domain_attack+conf_gap_change+H_final+semantic_coherence,4,0.71737,0.03695,0.28832,0.04801
47,cross_domain_attack+conf_gap_change+delta_H+semantic_coherence,4,0.71714,0.03665,0.28772,0.04645
48,cross_domain_attack+var_conf_pro+H_final+delta_H,4,0.71736,0.03603,0.28262,0.04664
49,cross_domain_attack+var_conf_pro+H_final+semantic_coherence,4,0.71811,0.03503,0.28728,0.04507
50,cross_domain_attack+var_conf_pro+delta_H+semantic_coherence,4,0.71671,0.03597,0.28646,0.04657
51,cross_domain_attack+H_final+delta_H+semantic_coherence,4,0.71976,0.03386,0.29086,0.04491
52,conf_gap_change+var_conf_pro+H_final+delta_H,4,0.71552,0.03668,0.2803,0.04547
53,conf_gap_change+var_conf_pro+H_final+semantic_coherence,4,0.71752,0.03737,0.28626,0.04848
54,conf_gap_change+var_conf_pro+delta_H+semantic_coherence,4,0.71599,0.038,0.28481,0.0482
55,conf_gap_change+H_final+delta_H+semantic_coherence,4,0.71607,0.03579,0.28644,0.04622
56,var_conf_pro+H_final+delta_H+semantic_coherence,4,0.71911,0.03477,0.28862,0.04629
57,cross_domain_attack+conf_gap_change+var_conf_pro+H_final+delta_H,5,0.71584,0.03645,0.27948,0.04547
58,cross_domain_attack+conf_gap_change+var_conf_pro+H_final+semantic_coherence,5,0.71709,0.03664,0.28723,0.04727
59,cross_domain_attack+conf_gap_change+var_conf_pro+delta_H+semantic_coherence,5,0.71564,0.0379,0.28352,0.04731
60,cross_domain_attack+conf_gap_change+H_final+delta_H+semantic_coherence,5,0.71919,0.03539,0.28717,0.04575
61,cross_domain_attack+var_conf_pro+H_final+delta_H+semantic_coherence,5,0.71789,0.03481,0.28633,0.04575
62,conf_gap_change+var_conf_pro+H_final+delta_H+semantic_coherence,5,0.717,0.03585,0.28604,0.04606
63,cross_domain_attack+conf_gap_change+var_conf_pro+H_final+delta_H+semantic_coherence,6,0.71582,0.03761,0.28281,0.04673
