covariate,rho,p,abs_rho
PK_mean,-0.9047619047619048,0.002008275505429469,0.9047619047619048
SK_mean,-0.8571428571428572,0.0065300172547152905,0.8571428571428572
Y_rate_T5,-0.5000000000000001,0.20703124999999994,0.5000000000000001
ipc_maingroup_distinct,0.4761904761904762,0.23293553465009792,0.4761904761904762
ipc_subclass_distinct,0.43114545428877316,0.2861957348053604,0.43114545428877316
n,0.4285714285714286,0.2894032248467901,0.4285714285714286
ipc_subclass_entropy,0.30952380952380953,0.4556448907375822,0.30952380952380953
zY,-0.28571428571428575,0.49272624501695717,0.28571428571428575
CKH_mean,0.28571428571428575,0.49272624501695717,0.28571428571428575
ipc_subclass_top1_share,-0.28571428571428575,0.49272624501695717,0.28571428571428575
ipc_maingroup_entropy,0.28571428571428575,0.49272624501695717,0.28571428571428575
TCT_mean,0.19047619047619052,0.6514014957024814,0.19047619047619052
ipc_tags_per_patent_mean,0.14285714285714288,0.735764859879812,0.14285714285714288
top5_share,0.11904761904761905,0.7788857260523796,0.11904761904761905
asg_HHI,0.023809523809523815,0.9553740118158806,0.023809523809523815
zX,0.023809523809523815,0.9553740118158806,0.023809523809523815
BL_AUROC,0.0,1.0,0.0
