T_pct,feature,n_seeds,mean_abs_shap_mean,mean_abs_shap_std
5,CKH,20,0.50669,0.05709
5,COL,20,0.01085,0.00805
5,CTO,20,0.36207,0.03904
5,CTS,20,0.45776,0.06036
5,H_final,20,0.45959,0.08572
5,INV,20,0.20897,0.03434
5,MF_B60K6,20,0.00296,0.00535
5,MF_F01L1,12,0.00157,0.00273
5,MF_F01N3,20,0.00188,0.00414
5,MF_F02B33,20,0.03102,0.01402
5,MF_F02B37,20,0.07854,0.01404
5,MF_F02B75,1,0.00605,
5,MF_F02D23,20,0.04387,0.01846
5,MF_F02D41,20,0.13636,0.03804
5,MF_F02M21,6,0.02055,0.00469
5,MF_F02M25,20,0.04223,0.01837
5,MF_F02M37,20,0.02535,0.00958
5,MF_F02N11,20,0.01502,0.0097
5,MF_F02P5,1,0.0,
5,MF_other,20,0.07984,0.0229
5,NC,20,0.29471,0.02816
5,PK,20,0.62782,0.067
5,PKH,20,0.3257,0.05936
5,PTS,20,0.30436,0.06498
5,SK,20,0.32789,0.03594
5,STO,20,0.41185,0.03056
5,TCT,20,0.80998,0.06145
5,TKH,20,0.29136,0.05409
5,TS,20,0.4567,0.05649
5,TTS,20,0.29564,0.04148
5,conf_gap_change,20,0.39619,0.04724
5,cross_domain_attack,20,0.35967,0.05542
5,delta_H,20,0.45319,0.04638
5,semantic_coherence,20,0.52535,0.04172
5,var_conf_pro,20,0.30697,0.038
10,CKH,20,0.48507,0.05309
10,COL,20,0.01211,0.00726
10,CTO,20,0.2961,0.02185
10,CTS,20,0.41133,0.04876
10,H_final,20,0.40152,0.05983
10,INV,20,0.1839,0.02053
10,MF_B60K6,19,0.00444,0.00271
10,MF_F01L1,13,0.00613,0.00395
10,MF_F01N3,20,0.00382,0.00307
10,MF_F02B33,20,0.08004,0.01557
10,MF_F02B37,20,0.03374,0.01146
10,MF_F02D23,20,0.03027,0.00812
10,MF_F02D41,20,0.08428,0.02726
10,MF_F02M21,5,0.00963,0.00732
10,MF_F02M25,20,0.02234,0.00716
10,MF_F02M37,20,0.02785,0.0133
10,MF_F02N11,19,0.00711,0.00635
10,MF_F02P5,4,0.00559,0.00147
10,MF_other,20,0.08064,0.02159
10,NC,20,0.29971,0.0249
10,PK,20,0.41101,0.0529
10,PKH,20,0.27562,0.04366
10,PTS,20,0.2667,0.04968
10,SK,20,0.2133,0.02451
10,STO,20,0.37807,0.0548
10,TCT,20,0.76862,0.04448
10,TKH,20,0.30458,0.0531
10,TS,20,0.65342,0.05433
10,TTS,20,0.26956,0.03879
10,conf_gap_change,20,0.31042,0.03161
10,cross_domain_attack,20,0.21252,0.0479
10,delta_H,20,0.35276,0.03486
10,semantic_coherence,20,0.40394,0.02494
10,var_conf_pro,20,0.291,0.02221
15,CKH,20,0.53334,0.05406
15,COL,20,0.01812,0.01201
15,CTO,20,0.27251,0.02031
15,CTS,20,0.3963,0.03818
15,H_final,20,0.39559,0.06107
15,INV,20,0.18065,0.02317
15,MF_B60K6,19,0.00634,0.00279
15,MF_F01L1,12,0.00572,0.00349
15,MF_F01N3,20,0.00384,0.00346
15,MF_F02B33,20,0.06763,0.01318
15,MF_F02B37,20,0.05119,0.01145
15,MF_F02D23,20,0.03185,0.00718
15,MF_F02D41,20,0.07233,0.02086
15,MF_F02M21,9,0.01169,0.00635
15,MF_F02M25,20,0.01348,0.00566
15,MF_F02M37,20,0.02359,0.00753
15,MF_F02N11,19,0.01341,0.00622
15,MF_F02P5,1,0.01002,
15,MF_other,20,0.07212,0.02113
15,NC,20,0.29243,0.02032
15,PK,20,0.42623,0.04488
15,PKH,20,0.28457,0.04302
15,PTS,20,0.23462,0.0387
15,SK,20,0.20452,0.02389
15,STO,20,0.36155,0.04965
15,TCT,20,0.7566,0.06065
15,TKH,20,0.27615,0.0447
15,TS,20,0.56846,0.04361
15,TTS,20,0.23292,0.03411
15,conf_gap_change,20,0.28395,0.02096
15,cross_domain_attack,20,0.23908,0.03133
15,delta_H,20,0.31435,0.02597
15,semantic_coherence,20,0.34914,0.02112
15,var_conf_pro,20,0.28316,0.0264
20,CKH,20,0.47205,0.05203
20,COL,20,0.00941,0.0031
20,CTO,20,0.25834,0.01981
20,CTS,20,0.33458,0.03087
20,H_final,20,0.29132,0.04046
20,INV,20,0.17956,0.02509
20,MF_B60K6,20,0.00954,0.00418
20,MF_F01L1,11,0.01387,0.0067
20,MF_F01N3,20,0.01265,0.00937
20,MF_F02B33,20,0.05769,0.01585
20,MF_F02B37,20,0.07001,0.01089
20,MF_F02D23,20,0.03568,0.00762
20,MF_F02D41,20,0.05391,0.01689
20,MF_F02M21,6,0.00998,0.00292
20,MF_F02M25,20,0.02329,0.01183
20,MF_F02M37,20,0.01771,0.00648
20,MF_F02N11,20,0.01502,0.00717
20,MF_F02P5,3,0.00629,0.0044
20,MF_other,20,0.07845,0.01808
20,NC,20,0.3013,0.0319
20,PK,20,0.4305,0.0452
20,PKH,20,0.2712,0.04593
20,PTS,20,0.24585,0.04871
20,SK,20,0.19376,0.0141
20,STO,20,0.35346,0.04574
20,TCT,20,0.6932,0.04001
20,TKH,20,0.26827,0.0391
20,TS,20,0.54445,0.04644
20,TTS,20,0.23889,0.0461
20,conf_gap_change,20,0.28289,0.02718
20,cross_domain_attack,20,0.27765,0.03797
20,delta_H,20,0.28477,0.01808
20,semantic_coherence,20,0.34822,0.02471
20,var_conf_pro,20,0.22757,0.02012
